CC,Description
0,Undefined
1,Modulation Wheel
2,Breath Control
3,Undefined
4,Foot Controller
5,Portamento Time
6,Data Entry MSB
7,Volume
8,Balance
9,Undefined
10,Pan
11,Expression
12,Undefined
13,Undefined
14,Undefined
15,Undefined
16,General Purpose
17,General Purpose
18,General Purpose
19,General Purpose
20,Undefined
21,Undefined
22,Undefined
23,Undefined
24,Undefined
25,Undefined
26,Undefined
27,Undefined
28,Undefined
29,Undefined
30,Undefined
31,Undefined
32,Undefined
33,Undefined
34,Undefined
35,Undefined
36,Undefined
37,Undefined
38,Undefined
39,Undefined
40,Undefined
41,Undefined
42,Undefined
43,Undefined
44,Undefined
45,Undefined
46,Undefined
47,Undefined
48,Undefined
49,Undefined
50,Undefined
51,Undefined
52,Undefined
53,Undefined
54,Undefined
55,Undefined
56,Undefined
57,Undefined
58,Undefined
59,Undefined
60,Undefined
61,Undefined
62,Undefined
63,Undefined
64,Sustain pedal (on/off)
65,Portamento CC control (on/off)
66,Undefined
67,Undefined
68,Undefined
69,Undefined
70,Undefined
71,Resonance (filter)
72,Undefined
73,Undefined
74,Frequency cutoff (filter)
75,Undefined
76,Undefined
77,Undefined
78,Undefined
79,Undefined
80,General Purpose (on/off)
81,General Purpose (on/off)
82,General Purpose (on/off)
83,General Purpose (on/off)
84,Undefined
85,Undefined
86,Undefined
87,Undefined
88,Undefined
89,Undefined
90,Undefined
91,Effect 1 Depth
92,Effect 2 Depth
93,Effect 3 Depth
94,Undefined
95,Undefined
96,Data Bound Increment (+1)
97,Data Bound Increment (-1)
98,NRPN (LSB) Selects
99,NRPN (LSB) Selects
100,RPN (LSB)
101,Undefined
102,Undefined
103,Undefined
104,Undefined
105,Undefined
106,Undefined
107,Undefined
108,Undefined
109,Undefined
110,Undefined
111,Undefined
112,Undefined
113,Undefined
114,Undefined
115,Undefined
116,Undefined
117,Undefined
118,Undefined
119,Undefined
120,All Sound Off
121,Reset All Controllers
122,Local Keyboard Mode On/Off
123,All Notes Off
124,Omni Mode Off
125,Omni Mode On
126,Mono Mode On
127,Poly Mode On
